Bahari,Budaya,Cagar Alam,Pusat Perbelanjaan,Taman Hiburan,Tempat Ibadah
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
